ds,y,yhat
2012-04-01,249394.0,253501.90112006897
2012-05-01,260774.0,256281.01759770696
2012-06-01,260376.0,262549.10387494473
2012-07-01,260244.0,263668.1286531305
2012-08-01,264379.0,261070.37159124578
2012-09-01,238867.0,244467.06599415507
2012-10-01,253574.0,250957.62155137226
2012-11-01,240361.0,238860.7065394424
2012-12-01,238709.0,244647.0827797075
2013-01-01,229419.0,223458.68276893877
2013-02-01,215803.0,218417.12035344608
2013-03-01,253026.0,254092.70561956265
2013-04-01,252064.0,248308.59075652584
2013-05-01,263406.0,261087.25329957894
2013-06-01,259980.0,262875.62427781866
2013-07-01,263946.0,261927.01282881649
2013-08-01,268061.0,265996.5832273353
2013-09-01,242536.0,243890.08856983742
2013-10-01,258748.0,256492.01077748917
2013-11-01,240055.0,244345.640116796
2013-12-01,241237.0,241069.92923007958
2014-01-01,226413.0,229656.64381268766
2014-02-01,213949.0,214917.6553854984
2014-03-01,253424.0,251613.60777768306
2014-04-01,256736.0,251271.97808245782
2014-05-01,266237.0,265607.85232513055
2014-06-01,263459.0,263942.54584743484
2014-07-01,270053.0,267118.3406329881
2014-08-01,268831.0,272249.31904021115
2014-09-01,247688.0,245505.0685656304
2014-10-01,265144.0,262150.851131307
2014-11-01,241451.0,247047.20882228
2014-12-01,252271.0,244186.92162545485
2015-01-01,233498.0,235691.22392342804
2015-02-01,217220.0,221919.2876305629
2015-03-01,258017.0,257255.12636185155
2015-04-01,262817.0,259252.87397891734
2015-05-01,270839.0,271293.57755719294
2015-06-01,270574.0,268900.7520901832
2015-07-01,278372.0,275546.4472475907
2015-08-01,272209.0,277363.15911602305
2015-09-01,255090.0,251820.3951199781
2015-10-01,268469.0,270489.74226146855
2015-11-01,248843.0,247966.0842479074
2015-12-01,259424.0,256308.99815341897
2016-01-01,239679.0,241323.4144125475
2016-02-01,223011.0,225423.6787998138
2016-03-01,265147.0,263514.0951270854
2016-04-01,269653.0,267636.2423223279
2016-05-01,277972.0,277555.74036553124
2016-06-01,276991.0,277267.14597970125
2016-07-01,285160.0,283575.5482854706
2016-08-01,279213.0,280999.48429796344
2016-09-01,262039.0,260773.10118595383
2016-10-01,275610.0,275569.73743468564
2016-11-01,255154.0,256518.95328262402
2016-12-01,264778.0,263885.859977441
2017-01-01,244587.0,246250.3185785198
2017-02-01,226947.0,229673.91894042873
2017-03-01,267355.0,268687.42808793555
2017-04-01,272904.0,270980.2111024739
2017-05-01,283956.0,280982.91160738835
2017-06-01,280537.0,282203.84290645574
2017-07-01,287343.0,288015.0056268889
2017-08-01,283184.0,283264.93678375863
2017-09-01,262673.0,264818.2420556711
2017-10-01,278937.0,277054.45485040586
2017-11-01,257712.0,258748.26662266642
2017-12-01,266535.0,266306.91324131197
2018-01-01,245695.0,247477.0498477238
2018-02-01,226660.0,229813.62576872308
2018-03-01,268480.0,267703.1958586397
2018-04-01,272475.0,272620.7536123409
2018-05-01,286164.0,282771.05686730455
2018-06-01,280877.0,282737.3153951431
2018-07-01,288145.0,287795.5381510129
2018-08-01,286608.0,284515.00103621476
2018-09-01,260595.0,265804.50234418776
2018-10-01,282174.0,277410.95675886696
2018-11-01,258590.0,260611.52619737783
2018-12-01,268413.0,267197.06233701675
